,CO2,Persons,Hour,Light,CO2_Diff
124,565.0,0,11,924,15.0
125,570.0,0,12,924,20.0
126,570.0,0,12,916,15.0
127,570.0,0,12,938,15.0
128,580.0,0,12,948,25.0
129,580.0,0,12,944,25.0
130,585.0,0,12,944,25.0
131,590.0,0,12,934,30.0
132,585.0,0,12,942,25.0
133,590.0,0,12,940,30.0
134,590.0,0,12,946,25.0
135,600.0,0,12,950,30.0
136,600.0,0,12,952,30.0
137,595.0,0,12,952,25.0
138,605.0,0,12,950,25.0
139,595.0,0,12,952,15.0
140,595.0,0,12,956,10.0
141,590.0,0,12,954,0.0
142,590.0,0,12,950,5.0
143,590.0,0,12,954,0.0
144,590.0,0,12,956,0.0
145,595.0,0,12,954,-5.0
146,595.0,0,12,954,-5.0
147,595.0,0,12,954,0.0
148,600.0,0,12,956,-5.0
149,610.0,0,12,954,15.0
150,605.0,0,12,958,10.0
151,610.0,0,12,962,20.0
152,615.0,0,12,958,25.0
153,615.0,0,12,958,25.0
154,620.0,0,12,960,30.0
155,625.0,0,12,960,30.0
156,630.0,0,12,960,35.0
157,630.0,0,12,956,35.0
158,630.0,0,12,960,30.0
159,630.0,0,12,958,20.0
160,625.0,0,12,948,20.0
161,625.0,0,12,944,15.0
162,630.0,0,12,954,15.0
163,630.0,0,12,952,15.0
164,625.0,0,12,950,5.0
165,635.0,0,12,952,10.0
166,635.0,0,12,946,5.0
167,635.0,0,12,948,5.0
168,630.0,0,12,954,0.0
169,635.0,0,12,956,5.0
170,635.0,0,12,962,10.0
171,635.0,0,12,960,10.0
172,635.0,0,12,956,5.0
173,640.0,0,12,950,10.0
174,645.0,0,12,948,20.0
175,650.0,0,12,960,15.0
176,645.0,0,12,962,10.0
177,650.0,0,12,966,15.0
178,640.0,0,12,960,10.0
179,640.0,0,12,964,5.0
180,645.0,0,12,962,10.0
181,645.0,0,12,960,10.0
182,640.0,0,12,960,5.0
183,645.0,0,12,958,5.0
184,640.0,0,12,952,-5.0
185,645.0,0,12,950,-5.0
186,645.0,0,12,954,0.0
187,640.0,0,12,962,-10.0
188,640.0,0,12,958,0.0
189,645.0,0,12,1174,5.0
190,645.0,1,12,1180,0.0
191,650.0,1,12,1216,5.0
192,645.0,1,12,1238,5.0
193,655.0,1,12,1250,10.0
194,655.0,1,12,1254,15.0
195,660.0,1,12,1260,15.0
196,660.0,1,12,1248,15.0
197,655.0,1,12,1238,15.0
198,660.0,0,12,1242,20.0
199,665.0,0,12,1240,20.0
200,665.0,0,12,1240,20.0
201,670.0,1,12,1254,20.0
202,680.0,1,12,1258,35.0
203,675.0,1,12,1256,20.0
204,675.0,1,12,1256,20.0
205,675.0,1,12,1236,15.0
206,675.0,1,12,1252,15.0
207,685.0,1,12,1250,30.0
208,690.0,1,12,1248,30.0
209,690.0,1,12,1252,25.0
210,695.0,1,12,1254,30.0
211,695.0,1,12,1254,25.0
212,700.0,1,12,1248,20.0
213,695.0,1,12,1252,20.0
214,695.0,1,12,1256,20.0
215,810.0,1,13,1282,135.0
216,810.0,1,13,1284,135.0
217,810.0,1,13,1280,125.0
218,815.0,1,13,1282,125.0
219,815.0,1,13,1280,125.0
220,815.0,1,13,1276,120.0
221,815.0,1,13,1274,120.0
222,820.0,1,13,1276,120.0
223,835.0,1,13,1274,140.0
224,840.0,1,13,1272,145.0
225,840.0,1,13,1276,30.0
226,845.0,1,13,1276,35.0
227,845.0,1,13,1278,35.0
228,845.0,1,13,1280,30.0
229,845.0,1,13,1270,30.0
230,840.0,1,13,1274,25.0
231,840.0,1,13,1278,25.0
232,845.0,1,13,1284,25.0
233,850.0,1,13,1286,15.0
234,855.0,1,13,1272,15.0
235,850.0,1,13,1282,10.0
236,850.0,1,13,1358,5.0
237,845.0,1,13,1358,0.0
238,845.0,1,13,1356,0.0
239,850.0,1,13,1360,5.0
240,855.0,1,13,1364,15.0
241,855.0,1,13,1364,15.0
242,860.0,1,13,1372,15.0
243,855.0,1,13,1356,5.0
244,860.0,1,13,1378,5.0
245,860.0,1,13,1386,10.0
246,860.0,1,13,1378,10.0
247,860.0,1,13,1382,15.0
248,860.0,1,13,1374,15.0
249,865.0,1,13,1368,15.0
250,865.0,1,13,1366,10.0
251,865.0,1,13,1368,10.0
252,875.0,1,13,1362,15.0
253,880.0,1,13,1364,25.0
254,875.0,1,13,1364,15.0
255,880.0,1,13,1326,20.0
256,885.0,0,13,1368,25.0
257,885.0,0,13,1372,25.0
258,875.0,0,13,1378,15.0
259,870.0,0,13,1382,5.0
260,875.0,0,13,1386,10.0
261,870.0,0,13,1398,5.0
262,870.0,0,13,1388,-5.0
263,870.0,0,13,1388,-10.0
264,865.0,0,13,1390,-10.0
265,870.0,0,13,1390,-10.0
266,870.0,0,13,1388,-15.0
267,865.0,0,13,1394,-20.0
268,860.0,0,13,1396,-15.0
269,840.0,0,13,1394,-30.0
270,845.0,0,13,1338,-30.0
271,850.0,0,13,1388,-20.0
272,860.0,0,13,1390,-10.0
273,865.0,1,13,1380,-5.0
274,870.0,1,13,1398,5.0
275,870.0,1,13,1394,0.0
276,885.0,1,13,1390,15.0
277,890.0,0,13,1402,25.0
278,895.0,1,13,1400,35.0
279,890.0,1,13,1398,50.0
280,890.0,1,13,1396,45.0
281,880.0,1,13,1390,30.0
282,880.0,1,13,1392,20.0
283,880.0,1,13,1388,15.0
284,875.0,1,13,1388,5.0
285,875.0,1,13,1394,5.0
286,875.0,1,13,1394,-10.0
287,880.0,1,13,1384,-10.0
288,880.0,1,13,1398,-15.0
289,890.0,1,13,1394,0.0
290,900.0,1,13,1392,10.0
291,905.0,1,13,1388,25.0
292,910.0,1,13,1386,30.0
293,910.0,1,13,1388,30.0
294,910.0,1,13,1388,35.0
295,910.0,1,13,1384,35.0
296,910.0,1,13,1386,35.0
297,910.0,1,13,1400,30.0
298,910.0,1,13,1390,30.0
299,910.0,1,13,1384,20.0
300,915.0,1,13,1386,15.0
301,910.0,1,13,1396,5.0
302,915.0,1,13,1404,5.0
303,920.0,1,13,1398,10.0
304,925.0,1,13,1344,15.0
305,925.0,1,13,1388,15.0
306,930.0,1,13,1394,20.0
307,935.0,1,14,1396,25.0
308,935.0,1,14,1396,25.0
309,935.0,1,14,1402,25.0
310,935.0,1,14,1400,20.0
311,935.0,1,14,1400,25.0
312,935.0,1,14,1394,20.0
313,935.0,1,14,1400,15.0
314,930.0,1,14,1400,5.0
315,925.0,1,14,1402,0.0
316,925.0,1,14,1404,-5.0
317,930.0,1,14,1400,-5.0
318,940.0,1,14,1380,5.0
319,940.0,1,14,1402,5.0
320,945.0,1,14,1390,10.0
321,945.0,1,14,1394,10.0
322,955.0,1,14,1394,20.0
323,960.0,1,14,1396,25.0
324,965.0,1,14,1400,35.0
325,960.0,1,14,1396,35.0
326,965.0,1,14,1374,40.0
327,970.0,1,14,1370,40.0
328,965.0,1,14,1382,25.0
329,970.0,1,14,1374,30.0
330,975.0,1,14,1382,30.0
331,970.0,1,14,1378,25.0
332,965.0,1,14,1376,10.0
333,960.0,1,14,1376,0.0
334,955.0,1,14,1372,-10.0
335,960.0,1,14,1372,0.0
336,965.0,1,14,1368,0.0
337,965.0,1,14,1370,-5.0
338,965.0,1,14,1366,0.0
339,965.0,1,14,1362,-5.0
340,960.0,1,14,1352,-15.0
341,955.0,1,14,1356,-15.0
342,950.0,1,14,1346,-15.0
343,950.0,1,14,1250,-10.0
344,950.0,0,14,276,-5.0
345,960.0,0,14,278,0.0
346,970.0,0,14,276,5.0
347,965.0,0,14,278,0.0
348,970.0,0,14,290,5.0
349,970.0,0,14,286,5.0
350,970.0,0,14,284,10.0
351,970.0,0,14,282,15.0
352,970.0,0,14,278,20.0
353,965.0,0,14,272,15.0
354,970.0,0,14,274,20.0
355,965.0,0,14,272,5.0
356,960.0,0,14,272,-10.0
357,965.0,0,14,270,0.0
358,965.0,0,14,278,-5.0
359,965.0,0,14,282,-5.0
360,975.0,0,14,284,5.0
361,975.0,0,14,286,5.0
362,975.0,0,14,284,5.0
363,970.0,0,14,284,5.0
364,965.0,0,14,278,-5.0
365,960.0,0,14,278,-5.0
366,960.0,0,14,282,0.0
367,955.0,0,14,282,-10.0
368,945.0,0,14,282,-20.0
369,945.0,0,14,278,-20.0
370,950.0,0,14,274,-25.0
371,950.0,0,14,276,-25.0
372,940.0,0,14,272,-35.0
373,930.0,0,14,272,-40.0
374,920.0,0,14,270,-45.0
375,910.0,0,14,272,-50.0
376,900.0,0,14,276,-60.0
377,890.0,0,14,282,-65.0
378,880.0,0,14,282,-65.0
379,870.0,0,14,282,-75.0
380,865.0,0,14,282,-85.0
381,855.0,0,14,280,-95.0
382,850.0,0,14,276,-90.0
383,845.0,0,14,274,-85.0
384,850.0,0,14,272,-70.0
385,845.0,0,14,264,-65.0
386,840.0,0,14,262,-60.0
387,840.0,0,14,260,-50.0
388,835.0,0,14,258,-45.0
389,835.0,0,14,258,-35.0
390,835.0,0,14,270,-30.0
391,835.0,0,14,266,-20.0
392,830.0,0,14,264,-20.0
393,830.0,0,14,262,-15.0
394,830.0,0,14,266,-20.0
395,830.0,0,14,264,-15.0
396,830.0,0,14,262,-10.0
397,820.0,0,14,264,-20.0
398,820.0,0,14,266,-15.0
399,815.0,0,14,266,-20.0
400,815.0,0,14,262,-20.0
401,815.0,0,14,262,-20.0
402,805.0,0,14,262,-25.0
403,805.0,0,14,264,-25.0
404,800.0,0,14,260,-30.0
405,795.0,0,14,262,-35.0
406,785.0,0,14,264,-45.0
407,775.0,0,14,264,-45.0
408,770.0,0,14,266,-50.0
409,770.0,0,14,260,-45.0
410,765.0,0,14,262,-50.0
411,760.0,0,14,260,-55.0
412,760.0,0,14,258,-45.0
413,755.0,0,14,258,-50.0
414,750.0,0,14,254,-50.0
415,755.0,0,14,252,-40.0
416,750.0,0,14,250,-35.0
417,750.0,0,14,248,-25.0
418,755.0,0,14,248,-15.0
419,755.0,0,14,248,-15.0
420,750.0,0,14,248,-15.0
421,755.0,0,14,246,-5.0
422,750.0,0,14,248,-10.0
423,740.0,0,15,246,-15.0
424,730.0,0,15,238,-20.0
425,730.0,0,15,236,-25.0
426,720.0,0,15,232,-30.0
427,715.0,0,15,232,-35.0
428,710.0,0,15,230,-45.0
429,715.0,0,15,228,-40.0
430,715.0,0,15,222,-35.0
431,715.0,0,15,228,-40.0
432,715.0,0,15,236,-35.0
433,715.0,0,15,236,-25.0
434,705.0,0,15,238,-25.0
435,705.0,0,15,238,-25.0
436,705.0,0,15,238,-15.0
437,705.0,0,15,240,-10.0
438,695.0,0,15,236,-15.0
439,690.0,0,15,236,-25.0
440,690.0,0,15,234,-25.0
441,695.0,0,15,236,-20.0
442,690.0,0,15,242,-25.0
443,685.0,0,15,250,-30.0
444,680.0,0,15,246,-25.0
445,685.0,0,15,242,-20.0
446,690.0,0,15,234,-15.0
447,685.0,0,15,228,-20.0
448,685.0,0,15,224,-10.0
449,680.0,0,15,222,-10.0
450,675.0,0,15,222,-15.0
451,680.0,0,15,216,-15.0
452,675.0,0,15,222,-15.0
453,675.0,0,15,222,-10.0
454,675.0,0,15,220,-5.0
455,675.0,0,15,220,-10.0
456,670.0,0,15,216,-20.0
457,655.0,0,15,216,-30.0
458,655.0,0,15,214,-30.0
459,650.0,0,15,214,-30.0
460,650.0,0,15,214,-25.0
461,640.0,0,15,216,-40.0
462,640.0,0,15,222,-35.0
463,640.0,0,15,224,-35.0
464,635.0,0,15,224,-40.0
465,625.0,0,15,220,-50.0
466,630.0,0,15,220,-40.0
467,625.0,0,15,218,-30.0
468,620.0,0,15,218,-35.0
469,615.0,0,15,218,-35.0
470,610.0,0,15,218,-40.0
471,600.0,0,15,216,-40.0
472,600.0,0,15,216,-40.0
473,595.0,0,15,218,-45.0
474,600.0,0,15,216,-35.0
475,600.0,0,15,216,-25.0
476,600.0,0,15,212,-30.0
477,595.0,0,15,434,-30.0
478,595.0,0,15,444,-25.0
479,595.0,0,15,452,-20.0
480,590.0,0,15,456,-20.0
481,590.0,0,15,464,-10.0
482,595.0,0,15,460,-5.0
483,585.0,0,15,456,-10.0
484,590.0,0,15,454,-10.0
485,595.0,0,15,454,-5.0
486,595.0,0,15,450,-5.0
487,590.0,0,15,450,-5.0
488,580.0,0,15,450,-15.0
489,580.0,0,15,448,-15.0
490,580.0,0,15,448,-10.0
491,580.0,0,15,448,-10.0
492,580.0,0,15,448,-15.0
493,580.0,0,15,448,-5.0
494,575.0,0,15,446,-15.0
495,575.0,0,15,444,-20.0
496,570.0,0,15,440,-25.0
497,570.0,0,15,440,-20.0
498,570.0,0,15,446,-10.0
499,570.0,0,15,444,-10.0
500,575.0,0,15,438,-5.0
501,570.0,0,15,438,-10.0
502,575.0,0,15,434,-5.0
503,575.0,0,15,436,-5.0
504,575.0,0,15,430,0.0
505,575.0,0,15,432,0.0
506,575.0,0,15,434,5.0
507,565.0,0,15,434,-5.0
508,570.0,0,15,434,0.0
509,575.0,0,15,432,5.0
510,565.0,0,15,436,-10.0
511,570.0,0,15,438,0.0
512,570.0,0,15,438,-5.0
513,570.0,0,15,442,-5.0
514,565.0,0,15,440,-10.0
515,565.0,0,15,438,-10.0
516,565.0,0,15,440,-10.0
517,560.0,0,15,440,-5.0
518,560.0,0,15,436,-10.0
519,565.0,0,15,436,-10.0
520,570.0,0,15,434,5.0
521,565.0,0,15,434,-5.0
522,570.0,0,15,432,0.0
523,575.0,0,15,430,5.0
524,580.0,0,15,430,15.0
525,575.0,0,15,426,10.0
526,580.0,0,15,422,15.0
527,585.0,0,15,422,25.0
528,585.0,0,15,422,25.0
529,590.0,0,15,420,25.0
530,590.0,0,15,418,20.0
531,590.0,0,15,418,25.0
532,590.0,0,15,416,20.0
533,590.0,0,15,412,15.0
534,585.0,0,15,410,5.0
535,595.0,0,15,410,20.0
536,600.0,0,15,408,20.0
537,600.0,0,15,408,15.0
538,595.0,0,16,408,10.0
539,595.0,0,16,404,5.0
540,595.0,0,16,402,5.0
541,595.0,0,16,404,5.0
542,590.0,0,16,404,0.0
543,595.0,0,16,404,5.0
544,595.0,0,16,404,10.0
545,595.0,0,16,404,0.0
546,595.0,0,16,404,-5.0
547,590.0,0,16,404,-10.0
548,590.0,0,16,402,-5.0
549,595.0,0,16,402,0.0
550,595.0,0,16,402,0.0
551,595.0,0,16,400,0.0
552,595.0,0,16,400,5.0
553,595.0,0,16,398,0.0
554,605.0,0,16,396,10.0
555,605.0,0,16,396,10.0
556,605.0,0,16,398,10.0
557,600.0,0,16,396,10.0
558,595.0,0,16,394,5.0
559,595.0,0,16,390,0.0
560,595.0,0,16,390,0.0
561,595.0,0,16,388,0.0
562,600.0,0,16,392,5.0
563,605.0,0,16,392,10.0
564,605.0,0,16,392,0.0
565,605.0,0,16,390,0.0
566,605.0,0,16,390,0.0
567,605.0,0,16,390,5.0
568,615.0,0,16,388,20.0
569,610.0,0,16,386,15.0
570,615.0,0,16,384,20.0
571,620.0,0,16,382,25.0
572,615.0,0,16,380,15.0
573,610.0,0,16,378,5.0
574,615.0,0,16,378,10.0
575,605.0,0,16,378,0.0
576,610.0,0,16,376,5.0
577,610.0,0,16,376,5.0
578,610.0,0,16,378,-5.0
579,620.0,0,16,376,10.0
580,620.0,0,16,374,5.0
581,620.0,0,16,372,0.0
582,615.0,0,16,370,0.0
583,620.0,0,16,372,10.0
584,625.0,0,16,370,10.0
585,615.0,0,16,368,10.0
586,620.0,0,16,366,10.0
587,620.0,0,16,364,10.0
588,620.0,0,16,360,10.0
589,620.0,0,16,360,0.0
590,620.0,0,16,362,0.0
591,615.0,0,16,358,-5.0
592,620.0,0,16,360,5.0
593,615.0,0,16,358,-5.0
594,615.0,0,16,356,-10.0
595,615.0,0,16,356,0.0
596,620.0,0,16,356,0.0
597,625.0,0,16,356,5.0
598,630.0,0,16,356,10.0
599,630.0,0,16,356,10.0
600,625.0,0,16,354,5.0
601,625.0,0,16,356,10.0
602,625.0,0,16,354,5.0
603,625.0,0,16,356,10.0
604,625.0,0,16,628,10.0
605,625.0,0,16,634,10.0
606,615.0,0,16,718,-5.0
607,615.0,0,16,718,-10.0
608,615.0,0,16,702,-15.0
609,620.0,0,16,708,-10.0
610,620.0,0,16,692,-5.0
611,625.0,0,16,698,0.0
612,625.0,0,16,690,0.0
613,635.0,0,16,688,10.0
614,630.0,0,16,684,5.0
615,630.0,0,16,688,5.0
616,630.0,0,16,686,15.0
617,630.0,0,16,680,15.0
618,630.0,0,16,684,15.0
619,625.0,0,16,682,5.0
620,630.0,0,16,678,10.0
621,625.0,0,16,676,0.0
622,630.0,0,16,676,5.0
623,625.0,0,16,672,-10.0
624,630.0,0,16,670,0.0
625,630.0,0,16,670,0.0
626,635.0,0,16,670,5.0
627,635.0,0,16,674,5.0
628,640.0,0,16,666,10.0
629,645.0,0,16,666,20.0
630,645.0,0,16,666,15.0
631,645.0,0,16,666,20.0
632,655.0,0,16,666,25.0
633,655.0,0,16,664,30.0
634,655.0,0,16,662,25.0
635,650.0,0,16,664,20.0
636,665.0,0,16,662,30.0
637,660.0,0,16,662,25.0
638,670.0,0,16,662,30.0
639,670.0,0,16,658,25.0
640,670.0,0,16,656,25.0
641,675.0,0,16,656,30.0
642,680.0,0,16,660,25.0
643,680.0,0,16,652,25.0
644,680.0,0,16,654,25.0
645,685.0,0,16,652,35.0
646,690.0,0,16,652,25.0
647,690.0,0,16,654,30.0
648,690.0,0,16,652,20.0
649,690.0,0,16,658,20.0
650,690.0,0,16,656,20.0
651,695.0,0,16,656,20.0
652,700.0,0,16,654,20.0
653,700.0,0,17,658,20.0
654,700.0,0,17,652,20.0
655,700.0,0,17,650,15.0
656,710.0,0,17,648,20.0
657,710.0,0,17,650,20.0
658,710.0,0,17,652,20.0
659,710.0,0,17,650,20.0
660,705.0,0,17,650,15.0
661,715.0,0,17,646,20.0
662,715.0,0,17,648,15.0
663,715.0,0,17,646,15.0
664,720.0,0,17,646,20.0
665,720.0,0,17,650,20.0
666,720.0,0,17,652,10.0
667,725.0,0,17,644,15.0
668,725.0,0,17,642,15.0
669,725.0,0,17,642,15.0
670,730.0,0,17,642,25.0
671,725.0,0,17,640,10.0
672,725.0,0,17,640,10.0
673,730.0,0,17,640,15.0
674,730.0,0,17,640,10.0
675,730.0,0,17,640,10.0
676,735.0,0,17,640,15.0
677,735.0,0,17,638,10.0
678,735.0,0,17,638,10.0
679,735.0,0,17,638,10.0
680,740.0,0,17,638,10.0
681,740.0,0,17,638,15.0
682,740.0,0,17,638,15.0
683,745.0,0,17,638,15.0
684,745.0,0,17,638,15.0
685,750.0,0,17,638,20.0
686,750.0,0,17,638,15.0
687,745.0,0,17,636,10.0
688,745.0,0,17,636,10.0
689,745.0,0,17,636,10.0
690,750.0,0,17,638,10.0
691,750.0,0,17,636,10.0
692,750.0,0,17,634,10.0
693,750.0,0,17,632,5.0
694,755.0,0,17,634,10.0
695,760.0,0,17,632,10.0
696,755.0,0,17,634,5.0
697,760.0,0,17,630,15.0
698,760.0,0,17,630,15.0
699,765.0,0,17,630,20.0
700,765.0,0,17,632,15.0
701,770.0,0,17,630,20.0
702,770.0,0,17,630,20.0
703,770.0,0,17,628,20.0
704,775.0,0,17,630,20.0
705,775.0,0,17,628,15.0
706,775.0,0,17,626,20.0
707,785.0,0,17,628,25.0
708,790.0,0,17,628,30.0
709,795.0,0,17,628,30.0
710,800.0,0,17,628,35.0
711,800.0,0,17,626,30.0
712,795.0,0,17,626,25.0
713,795.0,0,17,626,25.0
714,795.0,0,17,626,20.0
715,795.0,0,17,628,20.0
716,790.0,0,17,628,15.0
717,800.0,0,17,628,15.0
718,805.0,0,17,626,15.0
719,805.0,0,17,630,10.0
720,805.0,0,17,628,5.0
721,800.0,0,17,634,0.0
722,805.0,0,17,634,10.0
723,810.0,0,17,636,15.0
724,810.0,0,17,634,15.0
725,810.0,0,17,636,15.0
726,815.0,1,17,1046,25.0
727,815.0,1,17,1106,15.0
728,820.0,1,17,1132,15.0
729,825.0,1,17,1144,20.0
730,830.0,1,17,1144,25.0
731,825.0,1,17,1144,25.0
732,830.0,1,17,1140,25.0
733,830.0,1,17,1140,20.0
734,835.0,1,17,1140,25.0
735,835.0,1,17,1138,25.0
736,830.0,1,17,1138,15.0
737,830.0,1,17,1138,15.0
738,830.0,1,17,1136,10.0
739,830.0,1,17,1138,5.0
740,825.0,1,17,1136,-5.0
741,820.0,1,17,1134,-5.0
742,820.0,1,17,1134,-10.0
743,820.0,1,17,1134,-10.0
744,830.0,1,17,1132,-5.0
745,835.0,1,17,1130,0.0
746,840.0,1,17,1128,10.0
747,845.0,1,17,1130,15.0
748,850.0,1,17,1138,20.0
749,860.0,1,17,1138,30.0
750,860.0,1,17,1134,35.0
751,860.0,1,17,1136,40.0
752,860.0,1,17,1136,40.0
753,860.0,1,17,1134,40.0
754,855.0,1,17,1132,25.0
755,860.0,1,17,1132,25.0
756,865.0,1,17,1134,25.0
757,865.0,1,17,1132,20.0
758,870.0,1,17,1128,20.0
759,870.0,1,17,1124,10.0
760,875.0,1,17,1124,15.0
761,880.0,1,17,1130,20.0
762,885.0,1,17,1128,25.0
763,890.0,1,17,1126,30.0
764,895.0,1,17,1122,40.0
765,890.0,1,17,1124,30.0
766,890.0,1,17,1122,25.0
767,890.0,1,17,1122,25.0
768,890.0,1,17,1120,20.0
769,895.0,1,18,1124,25.0
770,895.0,1,18,1122,20.0
771,900.0,1,18,1120,20.0
772,905.0,1,18,1116,20.0
773,905.0,1,18,1124,15.0
774,920.0,1,18,1122,25.0
775,930.0,1,18,1122,40.0
776,935.0,1,18,1122,45.0
777,940.0,1,18,1122,50.0
778,950.0,1,18,1124,60.0
779,955.0,1,18,1124,60.0
780,960.0,1,18,1126,65.0
781,965.0,1,18,1130,65.0
782,965.0,1,18,1124,60.0
783,970.0,1,18,1120,65.0
784,975.0,1,18,1118,55.0
785,970.0,1,18,1118,40.0
786,975.0,1,18,1118,40.0
787,975.0,1,18,1120,35.0
788,980.0,1,18,1120,30.0
789,985.0,1,18,1122,30.0
790,985.0,1,18,1118,25.0
791,985.0,1,18,1120,20.0
792,995.0,1,18,1118,30.0
793,995.0,1,18,1120,25.0
794,995.0,1,18,1118,20.0
795,995.0,1,18,1120,25.0
796,995.0,1,18,1120,20.0
797,1000.0,1,18,1120,25.0
798,1000.0,1,18,1124,20.0
799,1010.0,1,18,1120,25.0
800,1015.0,1,18,1122,30.0
801,1015.0,1,18,1124,30.0
802,1015.0,1,18,1122,20.0
803,1015.0,1,18,1122,20.0
804,1025.0,1,18,1120,30.0
805,1025.0,1,18,1120,30.0
806,1025.0,1,18,1124,30.0
807,1025.0,1,18,1124,25.0
808,1030.0,1,18,1124,30.0
809,1040.0,1,18,1120,30.0
810,1035.0,1,18,1124,20.0
811,1035.0,1,18,1118,20.0
812,1045.0,1,18,1120,30.0
813,1050.0,1,18,1118,35.0
814,1055.0,1,18,1116,30.0
815,1055.0,1,18,1122,30.0
816,1060.0,1,18,1120,35.0
817,1060.0,1,18,1120,35.0
818,1055.0,1,18,1122,25.0
819,1055.0,1,18,1122,15.0
820,1060.0,1,18,1126,25.0
821,1065.0,1,18,1126,30.0
822,1065.0,1,18,1130,20.0
823,1070.0,1,18,1132,20.0
824,1075.0,1,18,1126,20.0
825,1070.0,1,18,1128,15.0
826,1080.0,1,18,1126,20.0
827,1080.0,1,18,1126,20.0
828,1085.0,1,18,1130,30.0
829,1085.0,1,18,1132,30.0
830,1080.0,1,18,1132,20.0
831,1080.0,1,18,1132,15.0
832,1085.0,1,18,1132,20.0
833,1090.0,1,18,1132,20.0
834,1095.0,1,18,1132,20.0
835,1105.0,1,18,1132,35.0
836,1105.0,1,18,1132,25.0
837,1105.0,1,18,1130,25.0
838,1110.0,1,18,1130,25.0
839,1110.0,1,18,1130,25.0
840,1110.0,1,18,1130,30.0
